origin,train_end,step,target_date,y_true,y_pred,insample_scale,serie,municipio,tributo
2020-12-01,2020-12-01,1,2021-01-01,69000723.36417782,73442065.22949617,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,2,2021-02-01,321045951.24377316,389839801.7736802,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,3,2021-03-01,127432294.82771966,77928631.81565449,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,4,2021-04-01,57077310.06476509,66837732.73937952,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,5,2021-05-01,62874566.758613415,64409900.95773122,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,6,2021-06-01,64970539.980599545,65850368.82419504,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,7,2021-07-01,59657057.5193954,72758132.8153346,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,8,2021-08-01,67559564.12545998,64864029.745215945,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,9,2021-09-01,59308358.66786285,65195362.722124554,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,10,2021-10-01,53898960.48452419,67745364.73825966,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,11,2021-11-01,55536055.336053334,68091472.34401453,10145027.427750492,salvador-IPTU,salvador,IPTU
2020-12-01,2020-12-01,12,2021-12-01,60702736.74751406,77793695.20123766,10145027.427750492,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,1,2021-02-01,321045951.24377316,389745154.6822612,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,2,2021-03-01,127432294.82771966,76614423.75973673,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,3,2021-04-01,57077310.06476509,64388966.907102786,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,4,2021-05-01,62874566.758613415,61777218.54937227,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,5,2021-06-01,64970539.980599545,63059329.03377997,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,6,2021-07-01,59657057.5193954,69530735.7628854,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,7,2021-08-01,67559564.12545998,61195243.16684673,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,8,2021-09-01,59308358.66786285,61511436.57849642,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,9,2021-10-01,53898960.48452419,64645866.21244853,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,10,2021-11-01,55536055.336053334,63851770.050661944,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,11,2021-12-01,60702736.74751406,73563490.30151354,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-01-01,2021-01-01,12,2022-01-01,65044094.43652048,72985192.22829375,9997872.250671698,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,1,2021-03-01,127432294.82771966,74994656.86967346,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,2,2021-04-01,57077310.06476509,62180777.81869507,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,3,2021-05-01,62874566.758613415,60951450.38551892,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,4,2021-06-01,64970539.980599545,60982129.456170775,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,5,2021-07-01,59657057.5193954,67266346.07782534,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,6,2021-08-01,67559564.12545998,60326039.515546724,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,7,2021-09-01,59308358.66786285,59185081.54921307,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,8,2021-10-01,53898960.48452419,62703255.52626641,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,9,2021-11-01,55536055.336053334,62330828.585243754,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,10,2021-12-01,60702736.74751406,70667685.37244402,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,11,2022-01-01,65044094.43652048,68756566.71876712,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-02-01,2021-02-01,12,2022-02-01,287530945.4916237,364991854.7159262,9942045.743510159,salvador-IPTU,salvador,IPTU
2021-03-01,2021-03-01,1,2021-04-01,57077310.06476509,70370362.35169451,10736377.263564026,salvador-IPTU,salvador,IPTU
2021-03-01,2021-03-01,2,2021-05-01,62874566.758613415,67505928.83018208,10736377.263564026,salvador-IPTU,salvador,IPTU
2021-03-01,2021-03-01,3,2021-06-01,64970539.980599545,66807920.8809429,10736377.263564026,salvador-IPTU,salvador,IPTU
2021-03-01,2021-03-01,4,2021-07-01,59657057.5193954,75586303.0016466,10736377.263564026,salvador-IPTU,salvador,IPTU
2021-03-01,2021-03-01,5,2021-08-01,67559564.12545998,66154237.53805387,10736377.263564026,salvador-IPTU,salvador,IPTU
2021-03-01,2021-03-01,6,2021-09-01,59308358.66786285,65305024.32698688,10736377.263564026,salvador-IPTU,salvador,IPTU
2021-03-01,2021-03-01,7,2021-10-01,53898960.48452419,68126030.77383891,10736377.263564026,salvador-IPTU,salvador,IPTU
2021-03-01,2021-03-01,8,2021-11-01,55536055.336053334,68324574.05449992,10736377.263564026,salvador-IPTU,salvador,IPTU
2021-03-01,2021-03-01,9,2021-12-01,60702736.74751406,77440418.79050215,10736377.263564026,salvador-IPTU,salvador,IPTU
2021-03-01,2021-03-01,10,2022-01-01,65044094.43652048,76926372.67811272,10736377.263564026,salvador-IPTU,salvador,IPTU
2021-03-01,2021-03-01,11,2022-02-01,287530945.4916237,398169888.2797769,10736377.263564026,salvador-IPTU,salvador,IPTU
2021-03-01,2021-03-01,12,2022-03-01,123924826.15024877,87722981.8644372,10736377.263564026,salvador-IPTU,salvador,IPTU
2021-04-01,2021-04-01,1,2021-05-01,62874566.758613415,63721192.87391438,10751307.212843925,salvador-IPTU,salvador,IPTU
2021-04-01,2021-04-01,2,2021-06-01,64970539.980599545,65285912.89512815,10751307.212843925,salvador-IPTU,salvador,IPTU
2021-04-01,2021-04-01,3,2021-07-01,59657057.5193954,69894966.2612471,10751307.212843925,salvador-IPTU,salvador,IPTU
2021-04-01,2021-04-01,4,2021-08-01,67559564.12545998,65002227.94713694,10751307.212843925,salvador-IPTU,salvador,IPTU
2021-04-01,2021-04-01,5,2021-09-01,59308358.66786285,66877339.6684694,10751307.212843925,salvador-IPTU,salvador,IPTU
2021-04-01,2021-04-01,6,2021-10-01,53898960.48452419,65784491.64719186,10751307.212843925,salvador-IPTU,salvador,IPTU
2021-04-01,2021-04-01,7,2021-11-01,55536055.336053334,66127276.18486334,10751307.212843925,salvador-IPTU,salvador,IPTU
2021-04-01,2021-04-01,8,2021-12-01,60702736.74751406,74411325.52318075,10751307.212843925,salvador-IPTU,salvador,IPTU
2021-04-01,2021-04-01,9,2022-01-01,65044094.43652048,74467459.24358767,10751307.212843925,salvador-IPTU,salvador,IPTU
2021-04-01,2021-04-01,10,2022-02-01,287530945.4916237,383822387.395298,10751307.212843925,salvador-IPTU,salvador,IPTU
2021-04-01,2021-04-01,11,2022-03-01,123924826.15024877,80022803.66251642,10751307.212843925,salvador-IPTU,salvador,IPTU
2021-04-01,2021-04-01,12,2022-04-01,61648619.59981778,66022584.02447191,10751307.212843925,salvador-IPTU,salvador,IPTU
2021-05-01,2021-05-01,1,2021-06-01,64970539.980599545,63462578.17881577,10815207.936321974,salvador-IPTU,salvador,IPTU
2021-05-01,2021-05-01,2,2021-07-01,59657057.5193954,70563403.71710382,10815207.936321974,salvador-IPTU,salvador,IPTU
2021-05-01,2021-05-01,3,2021-08-01,67559564.12545998,62994511.92764187,10815207.936321974,salvador-IPTU,salvador,IPTU
2021-05-01,2021-05-01,4,2021-09-01,59308358.66786285,62191028.43745224,10815207.936321974,salvador-IPTU,salvador,IPTU
2021-05-01,2021-05-01,5,2021-10-01,53898960.48452419,63625054.818328306,10815207.936321974,salvador-IPTU,salvador,IPTU
2021-05-01,2021-05-01,6,2021-11-01,55536055.336053334,64200310.50992378,10815207.936321974,salvador-IPTU,salvador,IPTU
2021-05-01,2021-05-01,7,2021-12-01,60702736.74751406,73925957.8582012,10815207.936321974,salvador-IPTU,salvador,IPTU
2021-05-01,2021-05-01,8,2022-01-01,65044094.43652048,71968992.17021827,10815207.936321974,salvador-IPTU,salvador,IPTU
2021-05-01,2021-05-01,9,2022-02-01,287530945.4916237,377563017.7287506,10815207.936321974,salvador-IPTU,salvador,IPTU
2021-05-01,2021-05-01,10,2022-03-01,123924826.15024877,84004360.89393266,10815207.936321974,salvador-IPTU,salvador,IPTU
2021-05-01,2021-05-01,11,2022-04-01,61648619.59981778,64763940.47589792,10815207.936321974,salvador-IPTU,salvador,IPTU
2021-05-01,2021-05-01,12,2022-05-01,68259379.93383087,62885870.15948981,10815207.936321974,salvador-IPTU,salvador,IPTU
2021-06-01,2021-06-01,1,2021-07-01,59657057.5193954,71460862.53363712,10818447.263454236,salvador-IPTU,salvador,IPTU
2021-06-01,2021-06-01,2,2021-08-01,67559564.12545998,62902503.70537961,10818447.263454236,salvador-IPTU,salvador,IPTU
2021-06-01,2021-06-01,3,2021-09-01,59308358.66786285,62817362.11188522,10818447.263454236,salvador-IPTU,salvador,IPTU
2021-06-01,2021-06-01,4,2021-10-01,53898960.48452419,66065359.736448,10818447.263454236,salvador-IPTU,salvador,IPTU
2021-06-01,2021-06-01,5,2021-11-01,55536055.336053334,64337964.008044064,10818447.263454236,salvador-IPTU,salvador,IPTU
2021-06-01,2021-06-01,6,2021-12-01,60702736.74751406,74199258.95975988,10818447.263454236,salvador-IPTU,salvador,IPTU
2021-06-01,2021-06-01,7,2022-01-01,65044094.43652048,73620042.62372346,10818447.263454236,salvador-IPTU,salvador,IPTU
2021-06-01,2021-06-01,8,2022-02-01,287530945.4916237,387407521.9681879,10818447.263454236,salvador-IPTU,salvador,IPTU
2021-06-01,2021-06-01,9,2022-03-01,123924826.15024877,83854095.6471676,10818447.263454236,salvador-IPTU,salvador,IPTU
2021-06-01,2021-06-01,10,2022-04-01,61648619.59981778,65206456.68700412,10818447.263454236,salvador-IPTU,salvador,IPTU
2021-06-01,2021-06-01,11,2022-05-01,68259379.93383087,64515442.58140674,10818447.263454236,salvador-IPTU,salvador,IPTU
2021-06-01,2021-06-01,12,2022-06-01,60097620.00360337,64757974.92221554,10818447.263454236,salvador-IPTU,salvador,IPTU
2021-07-01,2021-07-01,1,2021-08-01,67559564.12545998,61547316.48068614,10717224.05574527,salvador-IPTU,salvador,IPTU
2021-07-01,2021-07-01,2,2021-09-01,59308358.66786285,61778580.44777801,10717224.05574527,salvador-IPTU,salvador,IPTU
2021-07-01,2021-07-01,3,2021-10-01,53898960.48452419,63713548.38009327,10717224.05574527,salvador-IPTU,salvador,IPTU
2021-07-01,2021-07-01,4,2021-11-01,55536055.336053334,65577376.472625725,10717224.05574527,salvador-IPTU,salvador,IPTU
2021-07-01,2021-07-01,5,2021-12-01,60702736.74751406,78060776.83419958,10717224.05574527,salvador-IPTU,salvador,IPTU
2021-07-01,2021-07-01,6,2022-01-01,65044094.43652048,72100540.75845489,10717224.05574527,salvador-IPTU,salvador,IPTU
2021-07-01,2021-07-01,7,2022-02-01,287530945.4916237,370785071.1812991,10717224.05574527,salvador-IPTU,salvador,IPTU
2021-07-01,2021-07-01,8,2022-03-01,123924826.15024877,78092704.44496731,10717224.05574527,salvador-IPTU,salvador,IPTU
2021-07-01,2021-07-01,9,2022-04-01,61648619.59981778,63305804.864928156,10717224.05574527,salvador-IPTU,salvador,IPTU
2021-07-01,2021-07-01,10,2022-05-01,68259379.93383087,61362847.37277484,10717224.05574527,salvador-IPTU,salvador,IPTU
2021-07-01,2021-07-01,11,2022-06-01,60097620.00360337,62864647.473136604,10717224.05574527,salvador-IPTU,salvador,IPTU
2021-07-01,2021-07-01,12,2022-07-01,66773806.91903504,68393267.77163653,10717224.05574527,salvador-IPTU,salvador,IPTU
2021-08-01,2021-08-01,1,2021-09-01,59308358.66786285,62980414.81127248,10827376.208947297,salvador-IPTU,salvador,IPTU
2021-08-01,2021-08-01,2,2021-10-01,53898960.48452419,63934143.45233526,10827376.208947297,salvador-IPTU,salvador,IPTU
2021-08-01,2021-08-01,3,2021-11-01,55536055.336053334,64777477.21199719,10827376.208947297,salvador-IPTU,salvador,IPTU
2021-08-01,2021-08-01,4,2021-12-01,60702736.74751406,74027257.99826652,10827376.208947297,salvador-IPTU,salvador,IPTU
2021-08-01,2021-08-01,5,2022-01-01,65044094.43652048,71840197.12984303,10827376.208947297,salvador-IPTU,salvador,IPTU
2021-08-01,2021-08-01,6,2022-02-01,287530945.4916237,382406879.11691153,10827376.208947297,salvador-IPTU,salvador,IPTU
2021-08-01,2021-08-01,7,2022-03-01,123924826.15024877,83167832.96071549,10827376.208947297,salvador-IPTU,salvador,IPTU
2021-08-01,2021-08-01,8,2022-04-01,61648619.59981778,64618390.5832969,10827376.208947297,salvador-IPTU,salvador,IPTU
2021-08-01,2021-08-01,9,2022-05-01,68259379.93383087,63541279.06117265,10827376.208947297,salvador-IPTU,salvador,IPTU
2021-08-01,2021-08-01,10,2022-06-01,60097620.00360337,63974116.29008937,10827376.208947297,salvador-IPTU,salvador,IPTU
2021-08-01,2021-08-01,11,2022-07-01,66773806.91903504,68610713.09929644,10827376.208947297,salvador-IPTU,salvador,IPTU
2021-08-01,2021-08-01,12,2022-08-01,66532703.77148832,63318481.40704202,10827376.208947297,salvador-IPTU,salvador,IPTU
2021-09-01,2021-09-01,1,2021-10-01,53898960.48452419,67613344.68966416,10788648.64640075,salvador-IPTU,salvador,IPTU
2021-09-01,2021-09-01,2,2021-11-01,55536055.336053334,67976582.63037807,10788648.64640075,salvador-IPTU,salvador,IPTU
2021-09-01,2021-09-01,3,2021-12-01,60702736.74751406,77502050.5206675,10788648.64640075,salvador-IPTU,salvador,IPTU
2021-09-01,2021-09-01,4,2022-01-01,65044094.43652048,77281673.59225518,10788648.64640075,salvador-IPTU,salvador,IPTU
2021-09-01,2021-09-01,5,2022-02-01,287530945.4916237,402636898.114084,10788648.64640075,salvador-IPTU,salvador,IPTU
2021-09-01,2021-09-01,6,2022-03-01,123924826.15024877,90914738.57166217,10788648.64640075,salvador-IPTU,salvador,IPTU
2021-09-01,2021-09-01,7,2022-04-01,61648619.59981778,69806844.50065972,10788648.64640075,salvador-IPTU,salvador,IPTU
2021-09-01,2021-09-01,8,2022-05-01,68259379.93383087,67993508.99163084,10788648.64640075,salvador-IPTU,salvador,IPTU
2021-09-01,2021-09-01,9,2022-06-01,60097620.00360337,69732857.25114533,10788648.64640075,salvador-IPTU,salvador,IPTU
2021-09-01,2021-09-01,10,2022-07-01,66773806.91903504,74565595.61757627,10788648.64640075,salvador-IPTU,salvador,IPTU
2021-09-01,2021-09-01,11,2022-08-01,66532703.77148832,69083598.29874577,10788648.64640075,salvador-IPTU,salvador,IPTU
2021-09-01,2021-09-01,12,2022-09-01,65121867.4887068,68394680.80852236,10788648.64640075,salvador-IPTU,salvador,IPTU
2021-10-01,2021-10-01,1,2021-11-01,55536055.336053334,66996041.659945555,11072610.35444577,salvador-IPTU,salvador,IPTU
2021-10-01,2021-10-01,2,2021-12-01,60702736.74751406,76372674.17960387,11072610.35444577,salvador-IPTU,salvador,IPTU
2021-10-01,2021-10-01,3,2022-01-01,65044094.43652048,76300583.66475028,11072610.35444577,salvador-IPTU,salvador,IPTU
2021-10-01,2021-10-01,4,2022-02-01,287530945.4916237,397211751.0133508,11072610.35444577,salvador-IPTU,salvador,IPTU
2021-10-01,2021-10-01,5,2022-03-01,123924826.15024877,89478864.31686594,11072610.35444577,salvador-IPTU,salvador,IPTU
2021-10-01,2021-10-01,6,2022-04-01,61648619.59981778,68353860.29244332,11072610.35444577,salvador-IPTU,salvador,IPTU
2021-10-01,2021-10-01,7,2022-05-01,68259379.93383087,67164529.57759929,11072610.35444577,salvador-IPTU,salvador,IPTU
2021-10-01,2021-10-01,8,2022-06-01,60097620.00360337,69066964.01499619,11072610.35444577,salvador-IPTU,salvador,IPTU
2021-10-01,2021-10-01,9,2022-07-01,66773806.91903504,74459389.57461883,11072610.35444577,salvador-IPTU,salvador,IPTU
2021-10-01,2021-10-01,10,2022-08-01,66532703.77148832,68510232.72746594,11072610.35444577,salvador-IPTU,salvador,IPTU
2021-10-01,2021-10-01,11,2022-09-01,65121867.4887068,67210523.51730445,11072610.35444577,salvador-IPTU,salvador,IPTU
2021-10-01,2021-10-01,12,2022-10-01,63488690.92613522,68582339.55164091,11072610.35444577,salvador-IPTU,salvador,IPTU
2021-11-01,2021-11-01,1,2021-12-01,60702736.74751406,72941184.63547584,11333926.390600452,salvador-IPTU,salvador,IPTU
2021-11-01,2021-11-01,2,2022-01-01,65044094.43652048,68379358.12989998,11333926.390600452,salvador-IPTU,salvador,IPTU
2021-11-01,2021-11-01,3,2022-02-01,287530945.4916237,351405521.09777474,11333926.390600452,salvador-IPTU,salvador,IPTU
2021-11-01,2021-11-01,4,2022-03-01,123924826.15024877,78107573.15962438,11333926.390600452,salvador-IPTU,salvador,IPTU
2021-11-01,2021-11-01,5,2022-04-01,61648619.59981778,63526468.4218088,11333926.390600452,salvador-IPTU,salvador,IPTU
2021-11-01,2021-11-01,6,2022-05-01,68259379.93383087,61268577.50373789,11333926.390600452,salvador-IPTU,salvador,IPTU
2021-11-01,2021-11-01,7,2022-06-01,60097620.00360337,61334705.504629515,11333926.390600452,salvador-IPTU,salvador,IPTU
2021-11-01,2021-11-01,8,2022-07-01,66773806.91903504,65693926.319347516,11333926.390600452,salvador-IPTU,salvador,IPTU
2021-11-01,2021-11-01,9,2022-08-01,66532703.77148832,60884833.07540468,11333926.390600452,salvador-IPTU,salvador,IPTU
2021-11-01,2021-11-01,10,2022-09-01,65121867.4887068,58523513.07444247,11333926.390600452,salvador-IPTU,salvador,IPTU
2021-11-01,2021-11-01,11,2022-10-01,63488690.92613522,60461839.4759537,11333926.390600452,salvador-IPTU,salvador,IPTU
2021-11-01,2021-11-01,12,2022-11-01,66039562.927257076,58809554.69743112,11333926.390600452,salvador-IPTU,salvador,IPTU
2021-12-01,2021-12-01,1,2022-01-01,65044094.43652048,67149598.43125091,11571991.169759918,salvador-IPTU,salvador,IPTU
2021-12-01,2021-12-01,2,2022-02-01,287530945.4916237,348385709.1621378,11571991.169759918,salvador-IPTU,salvador,IPTU
2021-12-01,2021-12-01,3,2022-03-01,123924826.15024877,77283615.34871486,11571991.169759918,salvador-IPTU,salvador,IPTU
2021-12-01,2021-12-01,4,2022-04-01,61648619.59981778,61057863.995238945,11571991.169759918,salvador-IPTU,salvador,IPTU
2021-12-01,2021-12-01,5,2022-05-01,68259379.93383087,58872201.37784331,11571991.169759918,salvador-IPTU,salvador,IPTU
2021-12-01,2021-12-01,6,2022-06-01,60097620.00360337,59401241.549592435,11571991.169759918,salvador-IPTU,salvador,IPTU
2021-12-01,2021-12-01,7,2022-07-01,66773806.91903504,63897430.926576495,11571991.169759918,salvador-IPTU,salvador,IPTU
2021-12-01,2021-12-01,8,2022-08-01,66532703.77148832,59130568.07383674,11571991.169759918,salvador-IPTU,salvador,IPTU
2021-12-01,2021-12-01,9,2022-09-01,65121867.4887068,60283502.362856165,11571991.169759918,salvador-IPTU,salvador,IPTU
2021-12-01,2021-12-01,10,2022-10-01,63488690.92613522,58539993.85048059,11571991.169759918,salvador-IPTU,salvador,IPTU
2021-12-01,2021-12-01,11,2022-11-01,66039562.927257076,57758891.4340162,11571991.169759918,salvador-IPTU,salvador,IPTU
2021-12-01,2021-12-01,12,2022-12-01,64797642.90815615,65857784.30956778,11571991.169759918,salvador-IPTU,salvador,IPTU
2022-01-01,2022-01-01,1,2022-02-01,287530945.4916237,348166810.08548224,11467671.139046185,salvador-IPTU,salvador,IPTU
2022-01-01,2022-01-01,2,2022-03-01,123924826.15024877,77575288.00110422,11467671.139046185,salvador-IPTU,salvador,IPTU
2022-01-01,2022-01-01,3,2022-04-01,61648619.59981778,60682373.1754278,11467671.139046185,salvador-IPTU,salvador,IPTU
2022-01-01,2022-01-01,4,2022-05-01,68259379.93383087,59067593.764866635,11467671.139046185,salvador-IPTU,salvador,IPTU
2022-01-01,2022-01-01,5,2022-06-01,60097620.00360337,59625317.549667455,11467671.139046185,salvador-IPTU,salvador,IPTU
2022-01-01,2022-01-01,6,2022-07-01,66773806.91903504,64907538.8177283,11467671.139046185,salvador-IPTU,salvador,IPTU
2022-01-01,2022-01-01,7,2022-08-01,66532703.77148832,59539803.49729624,11467671.139046185,salvador-IPTU,salvador,IPTU
2022-01-01,2022-01-01,8,2022-09-01,65121867.4887068,58575997.15179496,11467671.139046185,salvador-IPTU,salvador,IPTU
2022-01-01,2022-01-01,9,2022-10-01,63488690.92613522,58339348.99126487,11467671.139046185,salvador-IPTU,salvador,IPTU
2022-01-01,2022-01-01,10,2022-11-01,66039562.927257076,59799408.67622518,11467671.139046185,salvador-IPTU,salvador,IPTU
2022-01-01,2022-01-01,11,2022-12-01,64797642.90815615,66929120.846968114,11467671.139046185,salvador-IPTU,salvador,IPTU
2022-01-01,2022-01-01,12,2023-01-01,71842672.13965991,66798171.868671544,11467671.139046185,salvador-IPTU,salvador,IPTU
2022-02-01,2022-02-01,1,2022-03-01,123924826.15024877,68333355.50196815,11765608.09327731,salvador-IPTU,salvador,IPTU
2022-02-01,2022-02-01,2,2022-04-01,61648619.59981778,56614224.65501158,11765608.09327731,salvador-IPTU,salvador,IPTU
2022-02-01,2022-02-01,3,2022-05-01,68259379.93383087,54882022.82321889,11765608.09327731,salvador-IPTU,salvador,IPTU
2022-02-01,2022-02-01,4,2022-06-01,60097620.00360337,55678341.45180759,11765608.09327731,salvador-IPTU,salvador,IPTU
2022-02-01,2022-02-01,5,2022-07-01,66773806.91903504,60713716.415526114,11765608.09327731,salvador-IPTU,salvador,IPTU
2022-02-01,2022-02-01,6,2022-08-01,66532703.77148832,55993896.78605213,11765608.09327731,salvador-IPTU,salvador,IPTU
2022-02-01,2022-02-01,7,2022-09-01,65121867.4887068,54690688.081164174,11765608.09327731,salvador-IPTU,salvador,IPTU
2022-02-01,2022-02-01,8,2022-10-01,63488690.92613522,55286926.42072216,11765608.09327731,salvador-IPTU,salvador,IPTU
2022-02-01,2022-02-01,9,2022-11-01,66039562.927257076,55924332.78057329,11765608.09327731,salvador-IPTU,salvador,IPTU
2022-02-01,2022-02-01,10,2022-12-01,64797642.90815615,64255571.09264747,11765608.09327731,salvador-IPTU,salvador,IPTU
2022-02-01,2022-02-01,11,2023-01-01,71842672.13965991,62578880.63439301,11765608.09327731,salvador-IPTU,salvador,IPTU
2022-02-01,2022-02-01,12,2023-02-01,312279669.4451977,317911515.2133154,11765608.09327731,salvador-IPTU,salvador,IPTU
2022-03-01,2022-03-01,1,2022-04-01,61648619.59981778,64327419.74671197,11655499.567733224,salvador-IPTU,salvador,IPTU
2022-03-01,2022-03-01,2,2022-05-01,68259379.93383087,63018121.68424797,11655499.567733224,salvador-IPTU,salvador,IPTU
2022-03-01,2022-03-01,3,2022-06-01,60097620.00360337,64262884.34857043,11655499.567733224,salvador-IPTU,salvador,IPTU
2022-03-01,2022-03-01,4,2022-07-01,66773806.91903504,67504415.69321646,11655499.567733224,salvador-IPTU,salvador,IPTU
2022-03-01,2022-03-01,5,2022-08-01,66532703.77148832,63273205.322173,11655499.567733224,salvador-IPTU,salvador,IPTU
2022-03-01,2022-03-01,6,2022-09-01,65121867.4887068,62456619.93552374,11655499.567733224,salvador-IPTU,salvador,IPTU
2022-03-01,2022-03-01,7,2022-10-01,63488690.92613522,63451500.850354984,11655499.567733224,salvador-IPTU,salvador,IPTU
2022-03-01,2022-03-01,8,2022-11-01,66039562.927257076,64153946.52208871,11655499.567733224,salvador-IPTU,salvador,IPTU
2022-03-01,2022-03-01,9,2022-12-01,64797642.90815615,70640686.61723758,11655499.567733224,salvador-IPTU,salvador,IPTU
2022-03-01,2022-03-01,10,2023-01-01,71842672.13965991,71437047.06204231,11655499.567733224,salvador-IPTU,salvador,IPTU
2022-03-01,2022-03-01,11,2023-02-01,312279669.4451977,365479581.2378099,11655499.567733224,salvador-IPTU,salvador,IPTU
2022-03-01,2022-03-01,12,2023-03-01,85661910.80764559,87590690.52803183,11655499.567733224,salvador-IPTU,salvador,IPTU
2022-04-01,2022-04-01,1,2022-05-01,68259379.93383087,62281995.17339409,11562286.540987426,salvador-IPTU,salvador,IPTU
2022-04-01,2022-04-01,2,2022-06-01,60097620.00360337,63535524.93835508,11562286.540987426,salvador-IPTU,salvador,IPTU
2022-04-01,2022-04-01,3,2022-07-01,66773806.91903504,67753999.0922569,11562286.540987426,salvador-IPTU,salvador,IPTU
2022-04-01,2022-04-01,4,2022-08-01,66532703.77148832,62556533.456338264,11562286.540987426,salvador-IPTU,salvador,IPTU
2022-04-01,2022-04-01,5,2022-09-01,65121867.4887068,61509610.70843447,11562286.540987426,salvador-IPTU,salvador,IPTU
2022-04-01,2022-04-01,6,2022-10-01,63488690.92613522,62176148.99456985,11562286.540987426,salvador-IPTU,salvador,IPTU
2022-04-01,2022-04-01,7,2022-11-01,66039562.927257076,62779182.218789354,11562286.540987426,salvador-IPTU,salvador,IPTU
2022-04-01,2022-04-01,8,2022-12-01,64797642.90815615,70189013.98251049,11562286.540987426,salvador-IPTU,salvador,IPTU
2022-04-01,2022-04-01,9,2023-01-01,71842672.13965991,70746885.94259778,11562286.540987426,salvador-IPTU,salvador,IPTU
2022-04-01,2022-04-01,10,2023-02-01,312279669.4451977,360597089.7460462,11562286.540987426,salvador-IPTU,salvador,IPTU
2022-04-01,2022-04-01,11,2023-03-01,85661910.80764559,87117599.73884667,11562286.540987426,salvador-IPTU,salvador,IPTU
2022-04-01,2022-04-01,12,2023-04-01,68003023.29737547,63468844.382742606,11562286.540987426,salvador-IPTU,salvador,IPTU
2022-05-01,2022-05-01,1,2022-06-01,60097620.00360337,67743183.34745687,11482059.614159247,salvador-IPTU,salvador,IPTU
2022-05-01,2022-05-01,2,2022-07-01,66773806.91903504,72984375.53845038,11482059.614159247,salvador-IPTU,salvador,IPTU
2022-05-01,2022-05-01,3,2022-08-01,66532703.77148832,67532689.56910999,11482059.614159247,salvador-IPTU,salvador,IPTU
2022-05-01,2022-05-01,4,2022-09-01,65121867.4887068,66596729.74368426,11482059.614159247,salvador-IPTU,salvador,IPTU
2022-05-01,2022-05-01,5,2022-10-01,63488690.92613522,67195604.99586017,11482059.614159247,salvador-IPTU,salvador,IPTU
2022-05-01,2022-05-01,6,2022-11-01,66039562.927257076,67863307.4038848,11482059.614159247,salvador-IPTU,salvador,IPTU
2022-05-01,2022-05-01,7,2022-12-01,64797642.90815615,77805332.04053944,11482059.614159247,salvador-IPTU,salvador,IPTU
2022-05-01,2022-05-01,8,2023-01-01,71842672.13965991,77875510.66095476,11482059.614159247,salvador-IPTU,salvador,IPTU
2022-05-01,2022-05-01,9,2023-02-01,312279669.4451977,400137114.9718902,11482059.614159247,salvador-IPTU,salvador,IPTU
2022-05-01,2022-05-01,10,2023-03-01,85661910.80764559,95855526.7850483,11482059.614159247,salvador-IPTU,salvador,IPTU
